epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3289,1.49889,1.51594,1.44176,0.00103,0.28437,0.00196,0.00048,0.84506,2.39423,0.72617,9.93333e-05,9.93333e-05,0.000766
2,150.913,1.1043,0.97332,0.82121,0.00346,0.58078,0.02721,0.0082,0.68031,2.81082,0.58963,9.29286e-05,9.29286e-05,9.29286e-05
3,215.557,0.96842,1.10046,0.63652,0.01506,0.57899,0.05197,0.01574,0.64513,3.42141,0.48916,8.58571e-05,8.58571e-05,8.58571e-05
4,290.952,0.84794,1.20235,0.51192,0.53141,0.20278,0.04633,0.01488,0.53856,3.0861,0.37492,7.87857e-05,7.87857e-05,7.87857e-05
5,358.54,0.75079,1.34312,0.44758,0.53276,0.23723,0.0532,0.01668,0.47913,1.43041,0.32052,7.17143e-05,7.17143e-05,7.17143e-05
6,425.856,0.68151,1.38967,0.41263,0.52836,0.16788,0.03414,0.01267,0.47683,2.00937,0.29959,6.46429e-05,6.46429e-05,6.46429e-05
7,499.918,0.67248,1.36608,0.38488,0.52943,0.19343,0.04129,0.01959,0.43648,1.51958,0.2637,5.75714e-05,5.75714e-05,5.75714e-05
8,576.193,0.63352,1.38095,0.36429,0.05154,0.27551,0.03246,0.01526,0.42622,1.61506,0.24185,5.05e-05,5.05e-05,5.05e-05
9,648.55,0.63367,1.39995,0.34236,0.06759,0.29874,0.04171,0.01986,0.38601,1.59309,0.23556,4.34286e-05,4.34286e-05,4.34286e-05
10,717.997,0.58851,1.39607,0.31736,0.03597,0.4122,0.04901,0.02164,0.38507,1.57388,0.21059,3.63571e-05,3.63571e-05,3.63571e-05
11,786.282,0.57508,1.39718,0.30651,0.03411,0.38347,0.03603,0.01771,0.35074,1.58957,0.19513,2.92857e-05,2.92857e-05,2.92857e-05
12,856.495,0.55383,1.44379,0.29921,0.04119,0.36296,0.03903,0.0182,0.37051,1.70735,0.21672,2.22143e-05,2.22143e-05,2.22143e-05
13,928.758,0.55194,1.42318,0.29108,0.07887,0.27777,0.04378,0.02066,0.35054,1.55203,0.20176,1.51429e-05,1.51429e-05,1.51429e-05
14,999.964,0.5358,1.44278,0.28899,0.03364,0.41764,0.04514,0.02104,0.34692,1.62151,0.20631,8.07143e-06,8.07143e-06,8.07143e-06
