epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6886,1.32439,1.06844,1.09308,0.00392,0.52329,0.00904,0.00277,0.58349,5.4149,0.47272,9.93333e-05,9.93333e-05,0.000766
2,155.719,0.95285,1.08185,0.66319,0.00322,0.67968,0.02199,0.00664,0.49757,6.50833,0.41476,7.525e-05,7.525e-05,7.525e-05
3,235.475,0.81344,1.22237,0.54107,0.06122,0.38036,0.03979,0.01481,0.39579,5.85798,0.30008,5.05e-05,5.05e-05,5.05e-05
4,315.765,0.73479,1.288,0.4586,0.5144,0.26132,0.04218,0.01701,0.3875,6.32136,0.29968,2.575e-05,2.575e-05,2.575e-05
