epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9571,1.43854,0.98065,1.21992,0.5139,0.11728,0.02044,0.00745,0.55739,7.45684,0.45809,0.000986667,0.000986667,0.00232
2,117.688,0.93226,1.10661,0.66754,0.52057,0.12551,0.01931,0.00771,0.48491,13.3597,0.42604,0.0007525,0.0007525,0.0007525
3,176.974,0.7794,1.21934,0.50529,0.03415,0.21247,0.02723,0.01274,0.32538,8.94463,0.24997,0.000505,0.000505,0.000505
4,235.308,0.64426,1.30152,0.41725,0.12343,0.30735,0.04901,0.02588,0.28818,8.38182,0.20684,0.0002575,0.0002575,0.0002575
