epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,275.312,0.50443,0.66341,0.2961,0.74036,0.67495,0.74579,0.42245,0.33149,1.92475,0.17974,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06
2,497.402,0.48243,0.59304,0.27453,0.7434,0.71073,0.77907,0.44848,0.31884,1.23654,0.17464,5.40321e-06,1.80107e-05,5.40321e-06,1.80107e-05,5.40321e-06,1.80107e-05
3,718.896,0.47593,0.57098,0.26882,0.75754,0.72885,0.79823,0.46189,0.31087,1.12305,0.17053,7.21551e-06,2.40517e-05,7.21551e-06,2.40517e-05,7.21551e-06,2.40517e-05
4,941.173,0.47306,0.55497,0.26857,0.76725,0.73583,0.80737,0.46733,0.30867,0.9515,0.16947,6.327e-06,2.109e-05,6.327e-06,2.109e-05,6.327e-06,2.109e-05
5,1162.61,0.46785,0.54796,0.2638,0.78527,0.73779,0.81399,0.47482,0.30792,0.86183,0.1672,5.436e-06,1.812e-05,5.436e-06,1.812e-05,5.436e-06,1.812e-05
6,1382.76,0.46559,0.54273,0.2645,0.77933,0.75177,0.8171,0.47702,0.30652,0.9312,0.1673,4.545e-06,1.515e-05,4.545e-06,1.515e-05,4.545e-06,1.515e-05
7,1601.75,0.46381,0.53807,0.26313,0.78613,0.7497,0.81851,0.4782,0.30719,0.8432,0.16925,3.654e-06,1.218e-05,3.654e-06,1.218e-05,3.654e-06,1.218e-05
8,1821.95,0.46385,0.53212,0.26392,0.78463,0.75264,0.82103,0.48068,0.30505,0.79681,0.16736,2.763e-06,9.21e-06,2.763e-06,9.21e-06,2.763e-06,9.21e-06
9,2040.3,0.46236,0.52933,0.26199,0.78346,0.75882,0.82355,0.48278,0.30427,0.80008,0.16637,1.872e-06,6.24e-06,1.872e-06,6.24e-06,1.872e-06,6.24e-06
10,2261.13,0.46173,0.53124,0.26197,0.78564,0.75526,0.82388,0.48225,0.30445,0.79774,0.16598,9.81e-07,3.27e-06,9.81e-07,3.27e-06,9.81e-07,3.27e-06
