epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,92.4962,2.03834,1.26224,2.57546,0.20356,0.26097,0.1219,0.0602,0.51278,6.22177,0.40286,2.98396e-05,9.94652e-05,2.98396e-05,9.94652e-05,2.98396e-05,9.94652e-05
2,137.121,0.78759,0.6537,0.53743,0.64547,0.54545,0.58993,0.30058,0.38821,2.36431,0.33279,5.68775e-05,0.000189592,5.68775e-05,0.000189592,5.68775e-05,0.000189592
3,181.347,0.58969,0.6698,0.37588,0.65222,0.55591,0.6106,0.34804,0.36733,1.72165,0.29162,8.09455e-05,0.000269818,8.09455e-05,0.000269818,8.09455e-05,0.000269818
4,227.257,0.55633,0.661,0.35578,0.70909,0.56591,0.62835,0.3516,0.35396,1.4749,0.29685,7.218e-05,0.0002406,7.218e-05,0.0002406,7.218e-05,0.0002406
5,273.405,0.52116,0.65599,0.32058,0.7261,0.57541,0.64729,0.36163,0.34416,1.71595,0.27372,6.7725e-05,0.00022575,6.7725e-05,0.00022575,6.7725e-05,0.00022575
6,317.621,0.5069,0.65459,0.32458,0.72773,0.60117,0.6889,0.39265,0.32893,1.17079,0.2643,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
7,362.308,0.4928,0.64426,0.29903,0.72801,0.63137,0.68558,0.38602,0.3291,1.46116,0.27209,5.8815e-05,0.00019605,5.8815e-05,0.00019605,5.8815e-05,0.00019605
8,404.881,0.48627,0.62785,0.29277,0.74222,0.62663,0.68992,0.3893,0.32477,1.05474,0.25912,5.436e-05,0.0001812,5.436e-05,0.0001812,5.436e-05,0.0001812
9,449.543,0.47707,0.59851,0.29573,0.75023,0.59104,0.67383,0.37819,0.33952,1.25472,0.2741,4.9905e-05,0.00016635,4.9905e-05,0.00016635,4.9905e-05,0.00016635
10,494.621,0.47664,0.59227,0.28953,0.70057,0.62351,0.66589,0.36793,0.35591,1.32603,0.32429,4.545e-05,0.0001515,4.545e-05,0.0001515,4.545e-05,0.0001515
11,538.061,0.4342,0.56496,0.29861,0.73266,0.6097,0.68771,0.3927,0.33511,0.9512,0.26544,4.0995e-05,0.00013665,4.0995e-05,0.00013665,4.0995e-05,0.00013665
12,582.377,0.43003,0.5432,0.28861,0.68678,0.66253,0.6977,0.40792,0.32078,0.84172,0.25098,3.654e-05,0.0001218,3.654e-05,0.0001218,3.654e-05,0.0001218
13,625.587,0.4285,0.52666,0.2926,0.76634,0.6277,0.70477,0.39887,0.3321,0.70832,0.27579,3.2085e-05,0.00010695,3.2085e-05,0.00010695,3.2085e-05,0.00010695
14,669.176,0.41611,0.52164,0.27886,0.73931,0.64773,0.69729,0.40691,0.31855,0.75628,0.26292,2.763e-05,9.21e-05,2.763e-05,9.21e-05,2.763e-05,9.21e-05
15,713.563,0.41219,0.49924,0.27531,0.73962,0.65974,0.71939,0.40791,0.32679,0.76323,0.28775,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05
16,757.371,0.4045,0.50087,0.26241,0.7523,0.64004,0.70054,0.40088,0.32927,0.95585,0.29557,1.872e-05,6.24e-05,1.872e-05,6.24e-05,1.872e-05,6.24e-05
17,801.81,0.40232,0.50049,0.26163,0.73186,0.66991,0.72607,0.42436,0.29945,0.88197,0.25986,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05
18,846.216,0.39748,0.49037,0.25502,0.72425,0.68031,0.72078,0.41599,0.31523,0.85096,0.27817,9.81e-06,3.27e-05,9.81e-06,3.27e-05,9.81e-06,3.27e-05
19,890.472,0.4028,0.47731,0.26093,0.75019,0.67884,0.73259,0.42184,0.31346,0.72521,0.25928,5.355e-06,1.785e-05,5.355e-06,1.785e-05,5.355e-06,1.785e-05
20,934.648,0.39212,0.47151,0.25164,0.74195,0.6767,0.7318,0.41825,0.31982,0.74787,0.27902,9e-07,3e-06,9e-07,3e-06,9e-07,3e-06
