epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4221,1.48287,1.14523,1.28712,0.00219,0.41933,0.00266,0.00064,0.72339,7.87753,0.75485,0.000296,0.000296,0.00162933
2,128.895,0.9813,0.96842,0.66237,0.52265,0.16255,0.03892,0.01134,0.49343,8.64564,0.41559,0.00022575,0.00022575,0.00022575
3,189.187,0.80441,1.11771,0.52767,0.54139,0.11111,0.05365,0.01894,0.39203,11.7629,0.29936,0.0001515,0.0001515,0.0001515
4,249.978,0.71976,1.17038,0.45054,0.54438,0.14403,0.0654,0.02574,0.35621,7.78907,0.26472,7.725e-05,7.725e-05,7.725e-05
