epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1011,1.5858,1.07702,1.43196,0.00175,0.20303,0.0006,0.00017,0.81184,7.10846,0.76399,2.96e-05,2.96e-05,0.00136293
2,122.268,1.3098,0.79524,1.06169,0.00144,0.35883,0.00118,0.00035,0.7659,9.8382,0.73442,2.2575e-05,2.2575e-05,2.2575e-05
3,179.61,1.19598,0.90806,0.94785,0.00193,0.34685,0.00262,0.00085,0.71722,9.61686,0.6992,1.515e-05,1.515e-05,1.515e-05
4,235.734,1.09401,0.97409,0.85608,0.00219,0.41384,0.00589,0.00198,0.72282,9.85554,0.72974,7.725e-06,7.725e-06,7.725e-06
