epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,363.455,2.65416,3.85344,4.48046,0.01084,0.03663,0.00157,0.00047,1.58841,2.90767,2.84028,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06
2,582.671,1.23373,0.63127,1.07173,0.43255,0.39393,0.32748,0.15754,0.63726,3.05835,0.41482,5.40321e-06,1.80107e-05,5.40321e-06,1.80107e-05,5.40321e-06,1.80107e-05
3,802.235,0.74116,0.67087,0.47929,0.62491,0.51864,0.57364,0.30744,0.50238,2.33752,0.29867,7.21551e-06,2.40517e-05,7.21551e-06,2.40517e-05,7.21551e-06,2.40517e-05
4,1021.87,0.612,0.65652,0.37357,0.66706,0.59423,0.652,0.35107,0.44826,1.62406,0.25192,6.327e-06,2.109e-05,6.327e-06,2.109e-05,6.327e-06,2.109e-05
5,1240.7,0.5716,0.63993,0.34211,0.69613,0.62487,0.68774,0.37519,0.38454,1.16121,0.22978,5.436e-06,1.812e-05,5.436e-06,1.812e-05,5.436e-06,1.812e-05
6,1463.45,0.54529,0.63448,0.32107,0.71947,0.6354,0.70588,0.38683,0.38259,1.24416,0.24832,4.545e-06,1.515e-05,4.545e-06,1.515e-05,4.545e-06,1.515e-05
7,1684.54,0.54065,0.62237,0.32033,0.71658,0.64592,0.71168,0.39437,0.37824,1.02785,0.22639,3.654e-06,1.218e-05,3.654e-06,1.218e-05,3.654e-06,1.218e-05
8,1901.49,0.53187,0.61949,0.31347,0.7256,0.64017,0.71783,0.39916,0.35357,0.87751,0.2025,2.763e-06,9.21e-06,2.763e-06,9.21e-06,2.763e-06,9.21e-06
9,2118.38,0.52403,0.61323,0.30569,0.73127,0.64967,0.72556,0.40205,0.35363,0.93235,0.20936,1.872e-06,6.24e-06,1.872e-06,6.24e-06,1.872e-06,6.24e-06
10,2335.12,0.52204,0.61053,0.30412,0.7424,0.63295,0.72556,0.40439,0.3552,0.93248,0.20613,9.81e-07,3.27e-06,9.81e-07,3.27e-06,9.81e-07,3.27e-06
