epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,275.548,1.28684,1.15545,1.31396,0.65112,0.54742,0.59348,0.30292,0.44023,1.62195,0.26292,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05
2,498.249,0.57511,0.68483,0.3117,0.70631,0.62114,0.69257,0.37989,0.34801,1.56295,0.20156,5.70005e-05,0.000190002,5.70005e-05,0.000190002,5.70005e-05,0.000190002
3,721.745,0.54269,0.65936,0.29584,0.70489,0.64437,0.70182,0.37701,0.33841,0.9973,0.18389,8.10621e-05,0.000270207,8.10621e-05,0.000270207,8.10621e-05,0.000270207
4,946.797,0.52922,0.64032,0.28666,0.73544,0.66306,0.73659,0.40255,0.34271,0.77642,0.20019,7.6635e-05,0.00025545,7.6635e-05,0.00025545,7.6635e-05,0.00025545
5,1174.39,0.5185,0.61581,0.28148,0.73167,0.67125,0.73785,0.41383,0.33299,0.65082,0.19679,7.218e-05,0.0002406,7.218e-05,0.0002406,7.218e-05,0.0002406
6,1399.76,0.5124,0.60351,0.27716,0.75815,0.70194,0.77386,0.42744,0.33181,0.82841,0.19242,6.7725e-05,0.00022575,6.7725e-05,0.00022575,6.7725e-05,0.00022575
7,1620.05,0.50191,0.59026,0.26822,0.77416,0.71097,0.77793,0.44053,0.32828,0.6267,0.19759,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
8,1843.24,0.49513,0.58853,0.26297,0.7697,0.68216,0.7729,0.44255,0.31775,0.6813,0.18933,5.8815e-05,0.00019605,5.8815e-05,0.00019605,5.8815e-05,0.00019605
9,2071.09,0.49352,0.57451,0.25984,0.75657,0.70689,0.7748,0.43479,0.3214,0.80667,0.1841,5.436e-05,0.0001812,5.436e-05,0.0001812,5.436e-05,0.0001812
10,2295.24,0.48412,0.57218,0.25705,0.77757,0.69393,0.77279,0.43958,0.32265,0.52935,0.19535,4.9905e-05,0.00016635,4.9905e-05,0.00016635,4.9905e-05,0.00016635
11,2514.65,0.46582,0.52545,0.26776,0.78991,0.71067,0.7938,0.45685,0.31373,0.53617,0.17945,4.545e-05,0.0001515,4.545e-05,0.0001515,4.545e-05,0.0001515
12,2732.29,0.46074,0.50734,0.26715,0.77707,0.72502,0.78868,0.45565,0.31924,0.48454,0.18397,4.0995e-05,0.00013665,4.0995e-05,0.00013665,4.0995e-05,0.00013665
13,2951.96,0.4508,0.50013,0.25491,0.78874,0.72084,0.80336,0.46368,0.32339,0.55946,0.1849,3.654e-05,0.0001218,3.654e-05,0.0001218,3.654e-05,0.0001218
14,3172.84,0.44697,0.48799,0.24897,0.79629,0.72922,0.80605,0.46838,0.31566,0.498,0.18202,3.2085e-05,0.00010695,3.2085e-05,0.00010695,3.2085e-05,0.00010695
15,3394.66,0.43577,0.48106,0.24242,0.79698,0.73199,0.80481,0.46412,0.31923,0.44227,0.18932,2.763e-05,9.21e-05,2.763e-05,9.21e-05,2.763e-05,9.21e-05
16,3613.37,0.43398,0.46787,0.24341,0.81236,0.72056,0.80258,0.46476,0.32527,0.47698,0.18561,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05
17,3834.91,0.43139,0.46278,0.23819,0.7994,0.72861,0.80252,0.46536,0.3175,0.50731,0.18525,1.872e-05,6.24e-05,1.872e-05,6.24e-05,1.872e-05,6.24e-05
18,4058.55,0.4258,0.45131,0.23546,0.80901,0.74168,0.80573,0.46664,0.32689,0.44264,0.19036,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05
19,4283.52,0.4197,0.44632,0.22887,0.79991,0.7352,0.80592,0.46833,0.32148,0.44904,0.19105,9.81e-06,3.27e-05,9.81e-06,3.27e-05,9.81e-06,3.27e-05
20,4503.3,0.41582,0.43927,0.22417,0.80728,0.74328,0.80362,0.46801,0.32386,0.42851,0.19115,5.355e-06,1.785e-05,5.355e-06,1.785e-05,5.355e-06,1.785e-05
