epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,96.689,2.15744,0.84193,2.08459,0.00032,0.17834,0.00051,0.00014,1.45468,2.70054,1.48256,9.86667e-06,9.86667e-06,0.0013432
1,87.8413,1.74894,1.08474,1.51103,0.0004,0.21338,0.0003,8e-05,1.01173,3.92373,0.92616,9.86667e-06,9.86667e-06,0.0013432
2,186.677,2.06262,0.33356,1.98872,0.00032,0.17834,0.00059,0.00017,1.3852,2.72049,1.40925,7.525e-06,7.525e-06,7.525e-06
2,186.133,1.66836,0.63457,1.39876,0.00039,0.20701,0.00029,8e-05,1.01408,3.73344,0.94192,7.525e-06,7.525e-06,7.525e-06
3,288.293,2.05981,0.3444,1.97267,0.00033,0.18471,0.00064,0.00018,1.36386,2.91155,1.42336,5.05e-06,5.05e-06,5.05e-06
3,280.208,1.59893,0.66171,1.32901,0.00048,0.21703,0.00037,0.0001,1.00628,3.86784,0.92863,5.05e-06,5.05e-06,5.05e-06
4,391.429,2.07476,0.34639,1.97251,0.00033,0.18153,0.00067,0.00019,1.27462,2.9216,1.50094,2.575e-06,2.575e-06,2.575e-06
4,363.172,1.6225,0.65117,1.32776,0.00053,0.21749,0.00033,9e-05,1.0232,3.83975,0.9571,2.575e-06,2.575e-06,2.575e-06
