epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2587,1.80997,1.37518,1.79536,0.00032,0.18153,0.00278,0.00106,0.92182,1.15221,1.03867,9.93333e-05,9.93333e-05,0.000766
2,162.718,1.50022,0.63948,1.4263,0.00225,0.28404,0.00253,0.00064,0.9409,2.26914,0.88699,7.525e-05,7.525e-05,7.525e-05
3,243.648,1.42959,0.78531,1.30219,0.00213,0.36466,0.00461,0.00109,0.91397,2.88917,0.90436,5.05e-05,5.05e-05,5.05e-05
4,328.028,1.31373,0.88776,1.19799,0.00282,0.40792,0.0091,0.00258,0.84973,2.83918,0.80625,2.575e-05,2.575e-05,2.575e-05
