epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5232,1.13573,1.04271,0.85329,0.52111,0.14403,0.03796,0.01508,0.41819,17.1542,0.29378,0.000296809,0.000296809,0.00136064
2,139.524,0.59716,1.26538,0.34878,0.07476,0.27521,0.06789,0.0316,0.31537,11.3901,0.23748,0.00028515,0.00028515,0.00028515
3,210.98,0.50245,1.25288,0.27773,0.13467,0.31057,0.11824,0.06775,0.30172,5.85758,0.22305,0.0002703,0.0002703,0.0002703
4,282.241,0.52879,1.04501,0.31704,0.58671,0.46742,0.47504,0.25492,0.34745,5.03698,0.27786,0.00025545,0.00025545,0.00025545
5,353.837,0.54019,0.8706,0.33035,0.53087,0.51734,0.48262,0.26312,0.35206,3.90376,0.28099,0.0002406,0.0002406,0.0002406
6,424.092,0.52748,0.85101,0.32482,0.59195,0.49511,0.523,0.28614,0.35184,5.38855,0.2817,0.00022575,0.00022575,0.00022575
7,495.82,0.51821,0.80822,0.31396,0.6581,0.51954,0.55761,0.30521,0.32931,5.03508,0.26835,0.0002109,0.0002109,0.0002109
8,565.634,0.50776,0.77567,0.31175,0.64453,0.5508,0.58075,0.31539,0.33075,2.88537,0.26338,0.00019605,0.00019605,0.00019605
9,633.858,0.50578,0.76611,0.30337,0.64338,0.59089,0.57959,0.31578,0.35327,3.22919,0.30615,0.0001812,0.0001812,0.0001812
10,703.052,0.50159,0.73523,0.30372,0.63432,0.53792,0.58049,0.3199,0.31333,2.19706,0.24402,0.00016635,0.00016635,0.00016635
11,774.927,0.46096,0.72062,0.32766,0.69633,0.57862,0.63083,0.35275,0.33604,1.56987,0.27104,0.0001515,0.0001515,0.0001515
12,843.827,0.44927,0.71597,0.3082,0.64132,0.56328,0.59999,0.34085,0.3206,7.21884,0.25233,0.00013665,0.00013665,0.00013665
13,910.962,0.44541,0.68189,0.30056,0.73203,0.61282,0.67174,0.38437,0.31622,1.36404,0.24681,0.0001218,0.0001218,0.0001218
14,981.536,0.42738,0.65058,0.28952,0.66078,0.62884,0.66032,0.37486,0.3259,1.59431,0.27494,0.00010695,0.00010695,0.00010695
15,1051.91,0.42407,0.61767,0.2804,0.71241,0.61132,0.66397,0.38532,0.31723,1.89232,0.26613,9.21e-05,9.21e-05,9.21e-05
16,1122.12,0.41923,0.60078,0.2776,0.70026,0.63082,0.65879,0.38497,0.30962,1.67162,0.23783,7.725e-05,7.725e-05,7.725e-05
17,1193.62,0.41205,0.59424,0.27254,0.73001,0.59786,0.67586,0.40069,0.33067,1.12633,0.27409,6.24e-05,6.24e-05,6.24e-05
18,1263.01,0.40658,0.57279,0.26173,0.72443,0.58667,0.67092,0.39882,0.3285,1.30425,0.26385,4.755e-05,4.755e-05,4.755e-05
19,1332.63,0.39992,0.56573,0.26373,0.7463,0.63989,0.69923,0.40956,0.33416,1.34339,0.27003,3.27e-05,3.27e-05,3.27e-05
20,1403.71,0.40193,0.5456,0.25558,0.71897,0.65018,0.68968,0.40998,0.32034,1.24612,0.25682,1.785e-05,1.785e-05,1.785e-05
