epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9585,1.87511,0.91697,1.67949,0.00095,0.21752,0.00029,6e-05,0.89592,2.51344,0.92832,9.86667e-05,9.86667e-05,0.001432
2,112.274,1.36315,0.72273,1.11149,0.00237,0.3963,0.00422,0.00117,0.72164,12.4634,0.649,7.525e-05,7.525e-05,7.525e-05
3,168.27,1.194,0.90171,0.97254,0.00279,0.49957,0.01256,0.00331,0.63969,8.62546,0.57468,5.05e-05,5.05e-05,5.05e-05
4,229.042,1.1313,0.906,0.94075,0.0029,0.55582,0.01513,0.00483,0.56277,9.37051,0.53696,2.575e-05,2.575e-05,2.575e-05
