epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,272.364,0.98987,1.3141,1.06886,0.67822,0.57187,0.63912,0.33792,0.35039,2.3002,0.2026,9.98967e-05,0.000332989,9.98967e-05,0.000332989,9.98967e-05,0.000332989
2,493.679,0.58457,0.71267,0.35524,0.63191,0.56212,0.59632,0.30466,0.40157,1.28105,0.24126,0.000180107,0.000600356,0.000180107,0.000600356,0.000180107,0.000600356
3,719.033,0.5858,0.74171,0.35637,0.5639,0.56443,0.55503,0.29456,0.33524,1.27291,0.20055,0.000240517,0.000801724,0.000240517,0.000801724,0.000240517,0.000801724
4,943.75,0.56789,0.73502,0.33818,0.61422,0.59992,0.60145,0.31485,0.34632,1.5869,0.21866,0.0002109,0.000703,0.0002109,0.000703,0.0002109,0.000703
5,1162.39,0.55608,0.69655,0.33019,0.67137,0.63093,0.66814,0.35247,0.34332,1.28164,0.1994,0.0001812,0.000604,0.0001812,0.000604,0.0001812,0.000604
6,1386.21,0.53678,0.66681,0.32004,0.71249,0.66827,0.70983,0.38253,0.33957,0.69665,0.19379,0.0001515,0.000505,0.0001515,0.000505,0.0001515,0.000505
7,1594.07,0.52786,0.63623,0.31215,0.73433,0.66474,0.72236,0.40133,0.32433,0.62335,0.18972,0.0001218,0.000406,0.0001218,0.000406,0.0001218,0.000406
8,1814.61,0.51444,0.59743,0.30609,0.7492,0.66765,0.73562,0.41182,0.32733,0.58066,0.19453,9.21e-05,0.000307,9.21e-05,0.000307,9.21e-05,0.000307
9,2033.72,0.49719,0.57378,0.29431,0.77099,0.69899,0.76687,0.43116,0.32149,0.55675,0.18898,6.24e-05,0.000208,6.24e-05,0.000208,6.24e-05,0.000208
10,2260.31,0.48236,0.55311,0.27932,0.75594,0.71816,0.77379,0.43922,0.31909,0.53055,0.18942,3.27e-05,0.000109,3.27e-05,0.000109,3.27e-05,0.000109
