epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3389,1.72879,0.75051,1.47265,0.50066,0.0144,0.00047,9e-05,nan,nan,nan,0.00296,0.00296,0.00429333
2,119.145,1.66304,0.44351,1.39264,0.001,0.12521,0.00019,4e-05,0.91755,6.16532,0.90372,0.0022575,0.0022575,0.0022575
3,178.566,1.52342,0.53997,1.23471,0.0012,0.27575,0.00043,8e-05,0.7575,5.31357,0.72571,0.001515,0.001515,0.001515
4,236.497,1.40905,0.59286,1.0558,0.00454,0.16956,0.00354,0.00074,0.70407,7.54612,0.6434,0.0007725,0.0007725,0.0007725
