epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,96.6779,2.10177,1.25479,2.62361,0.16464,0.18048,0.06747,0.03246,0.5867,6.8848,0.50656,3.31219e-06,9.94652e-05,3.31219e-06,9.94652e-05,3.31219e-06,9.94652e-05
2,141.493,0.89169,0.68944,0.62995,0.5927,0.47725,0.48298,0.25004,0.43833,1.92621,0.36479,6.3134e-06,0.000189592,6.3134e-06,0.000189592,6.3134e-06,0.000189592
3,186.156,0.60694,0.7255,0.38551,0.6477,0.53251,0.59283,0.32216,0.36824,1.81523,0.29226,8.98495e-06,0.000269818,8.98495e-06,0.000269818,8.98495e-06,0.000269818
4,229.326,0.5713,0.69729,0.36455,0.65664,0.52839,0.59398,0.33801,0.3601,1.61119,0.28676,8.01198e-06,0.0002406,8.01198e-06,0.0002406,8.01198e-06,0.0002406
5,274.087,0.53378,0.70318,0.32676,0.74834,0.54098,0.62782,0.36014,0.34536,1.88348,0.29313,7.51748e-06,0.00022575,7.51748e-06,0.00022575,7.51748e-06,0.00022575
6,317.549,0.51916,0.70063,0.32604,0.75574,0.53986,0.63971,0.36536,0.33921,1.8859,0.278,7.02297e-06,0.0002109,7.02297e-06,0.0002109,7.02297e-06,0.0002109
7,360.933,0.51535,0.67561,0.31588,0.73537,0.56545,0.6535,0.37461,0.34279,1.61891,0.2913,6.52847e-06,0.00019605,6.52847e-06,0.00019605,6.52847e-06,0.00019605
8,405.197,0.50542,0.67175,0.30768,0.72588,0.57229,0.6457,0.36957,0.32374,0.87767,0.26448,6.03396e-06,0.0001812,6.03396e-06,0.0001812,6.03396e-06,0.0001812
9,449.312,0.49553,0.65397,0.30982,0.74247,0.56356,0.64785,0.37452,0.33825,1.4441,0.28842,5.53946e-06,0.00016635,5.53946e-06,0.00016635,5.53946e-06,0.00016635
10,493.785,0.49403,0.64873,0.3039,0.69404,0.60316,0.65224,0.37604,0.30746,1.1127,0.24065,5.04495e-06,0.0001515,5.04495e-06,0.0001515,5.04495e-06,0.0001515
11,538.201,0.4472,0.648,0.30307,0.742,0.6094,0.68049,0.38655,0.33262,0.94203,0.2786,4.55045e-06,0.00013665,4.55045e-06,0.00013665,4.55045e-06,0.00013665
12,582.191,0.45255,0.61525,0.30954,0.72709,0.60259,0.68014,0.39518,0.3372,0.89374,0.27952,4.05594e-06,0.0001218,4.05594e-06,0.0001218,4.05594e-06,0.0001218
13,625.77,0.44078,0.61236,0.29712,0.73308,0.61578,0.68199,0.39793,0.32893,0.83661,0.26716,3.56144e-06,0.00010695,3.56144e-06,0.00010695,3.56144e-06,0.00010695
14,670.163,0.44108,0.60522,0.29719,0.76333,0.61863,0.69777,0.39362,0.32926,0.68911,0.28342,3.06693e-06,9.21e-05,3.06693e-06,9.21e-05,3.06693e-06,9.21e-05
15,713.299,0.43933,0.58896,0.29437,0.77152,0.61032,0.69826,0.39897,0.33186,0.67041,0.29229,2.57243e-06,7.725e-05,2.57243e-06,7.725e-05,2.57243e-06,7.725e-05
16,757.61,0.4378,0.57549,0.2927,0.76116,0.61772,0.70582,0.40053,0.33347,0.74912,0.28758,2.07792e-06,6.24e-05,2.07792e-06,6.24e-05,2.07792e-06,6.24e-05
17,800.404,0.43491,0.58098,0.28667,0.74475,0.6216,0.69902,0.39087,0.32773,0.7386,0.28594,1.58342e-06,4.755e-05,1.58342e-06,4.755e-05,1.58342e-06,4.755e-05
18,844.65,0.43261,0.58029,0.28891,0.77501,0.60068,0.69803,0.39527,0.32686,0.71152,0.28545,1.08891e-06,3.27e-05,1.08891e-06,3.27e-05,1.08891e-06,3.27e-05
19,887.781,0.43262,0.57307,0.28578,0.75736,0.60355,0.69703,0.39606,0.32745,0.70588,0.28533,5.94405e-07,1.785e-05,5.94405e-07,1.785e-05,5.94405e-07,1.785e-05
20,932.787,0.42018,0.57574,0.27933,0.75099,0.61245,0.69944,0.39952,0.32511,0.68402,0.28012,9.99e-08,3e-06,9.99e-08,3e-06,9.99e-08,3e-06
