epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2372,1.69217,1.39196,1.51324,0.00041,0.22611,0.00054,0.00015,0.96888,1.4945,0.9007,9.93333e-05,9.93333e-05,0.000766
2,151.421,1.36219,0.76028,1.12727,0.00198,0.29632,0.00537,0.00141,0.86412,2.23293,0.80327,7.525e-05,7.525e-05,7.525e-05
3,228.798,1.26247,0.84105,0.99233,0.00147,0.31908,0.00483,0.00112,0.79948,1.98266,0.74388,5.05e-05,5.05e-05,5.05e-05
4,301.654,1.14537,0.93916,0.83243,0.00338,0.47183,0.01704,0.00545,0.74293,2.12551,0.6373,2.575e-05,2.575e-05,2.575e-05
