epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7518,1.82705,1.39969,1.65832,0.00044,0.25159,0.00037,0.0001,1.11993,0.80873,0.97203,9.86667e-06,9.86667e-06,0.0013432
2,114.972,1.54375,0.75183,1.34577,0.00038,0.21656,0.00027,7e-05,1.15916,0.90861,1.23144,7.525e-06,7.525e-06,7.525e-06
3,172.803,1.5007,0.78134,1.28415,0.00042,0.24204,0.00043,0.00011,1.15054,1.07088,1.16146,5.05e-06,5.05e-06,5.05e-06
4,230.411,1.49681,0.79617,1.24948,0.00042,0.23885,0.00038,0.0001,1.13988,1.1526,1.13462,2.575e-06,2.575e-06,2.575e-06
