epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,99.9247,2.02226,1.2638,2.63301,0.29767,0.28793,0.19282,0.09881,0.47441,5.17202,0.35985,4.97326e-05,9.94652e-05,4.97326e-05,9.94652e-05,4.97326e-05,9.94652e-05
2,143.615,0.74533,0.66345,0.49545,0.62231,0.51513,0.54923,0.30606,0.35041,3.14247,0.27842,9.47959e-05,0.000189592,9.47959e-05,0.000189592,9.47959e-05,0.000189592
3,188.181,0.59342,0.66535,0.38062,0.70024,0.57105,0.60637,0.34015,0.37297,1.7117,0.31875,0.000134909,0.000269818,0.000134909,0.000269818,0.000134909,0.000269818
4,233.291,0.55933,0.66913,0.354,0.68598,0.59647,0.62134,0.35435,0.34815,1.13336,0.26939,0.0001203,0.0002406,0.0001203,0.0002406,0.0001203,0.0002406
5,277.5,0.53776,0.64938,0.33563,0.73027,0.57046,0.63647,0.34791,0.36958,1.08283,0.33878,0.000112875,0.00022575,0.000112875,0.00022575,0.000112875,0.00022575
6,321.979,0.51844,0.65342,0.33197,0.67313,0.6011,0.66497,0.3699,0.33943,1.91311,0.27623,0.00010545,0.0002109,0.00010545,0.0002109,0.00010545,0.0002109
7,367.524,0.50578,0.64884,0.30683,0.69218,0.62226,0.65716,0.37141,0.32023,1.71065,0.25868,9.8025e-05,0.00019605,9.8025e-05,0.00019605,9.8025e-05,0.00019605
8,411.442,0.50336,0.61462,0.30314,0.69046,0.64713,0.67419,0.37486,0.34519,1.05492,0.28312,9.06e-05,0.0001812,9.06e-05,0.0001812,9.06e-05,0.0001812
9,456.397,0.48634,0.60554,0.30237,0.68237,0.65864,0.68078,0.38793,0.32891,1.39545,0.25784,8.3175e-05,0.00016635,8.3175e-05,0.00016635,8.3175e-05,0.00016635
10,500.944,0.47971,0.60646,0.29005,0.73308,0.64247,0.71119,0.40786,0.29736,1.25511,0.22785,7.575e-05,0.0001515,7.575e-05,0.0001515,7.575e-05,0.0001515
11,546.267,0.43794,0.57357,0.29999,0.73659,0.67792,0.72721,0.41409,0.31119,0.97943,0.24665,6.8325e-05,0.00013665,6.8325e-05,0.00013665,6.8325e-05,0.00013665
12,591.785,0.4367,0.53795,0.29187,0.73708,0.68234,0.73333,0.42007,0.30544,0.79066,0.24152,6.09e-05,0.0001218,6.09e-05,0.0001218,6.09e-05,0.0001218
13,635.905,0.42113,0.53744,0.27874,0.75872,0.65925,0.71631,0.4145,0.32453,0.68711,0.25046,5.3475e-05,0.00010695,5.3475e-05,0.00010695,5.3475e-05,0.00010695
14,681.287,0.41644,0.53289,0.27396,0.77808,0.67259,0.71802,0.40585,0.32544,0.66977,0.26286,4.605e-05,9.21e-05,4.605e-05,9.21e-05,4.605e-05,9.21e-05
15,725.116,0.41241,0.50551,0.27585,0.73561,0.66436,0.69645,0.40193,0.3255,0.6186,0.27859,3.8625e-05,7.725e-05,3.8625e-05,7.725e-05,3.8625e-05,7.725e-05
16,769.522,0.40471,0.49335,0.26087,0.71535,0.65635,0.67577,0.39699,0.33405,0.71618,0.28533,3.12e-05,6.24e-05,3.12e-05,6.24e-05,3.12e-05,6.24e-05
17,813.39,0.4065,0.48425,0.25992,0.73321,0.67564,0.70019,0.41015,0.32533,0.69408,0.28106,2.3775e-05,4.755e-05,2.3775e-05,4.755e-05,2.3775e-05,4.755e-05
18,855.214,0.39591,0.48302,0.25249,0.75866,0.65089,0.70166,0.40982,0.32506,0.65469,0.28366,1.635e-05,3.27e-05,1.635e-05,3.27e-05,1.635e-05,3.27e-05
19,898.38,0.39692,0.47473,0.25276,0.74529,0.64763,0.69751,0.40818,0.33852,0.62564,0.2957,8.925e-06,1.785e-05,8.925e-06,1.785e-05,8.925e-06,1.785e-05
20,942.224,0.38567,0.46803,0.24597,0.76406,0.64393,0.69662,0.4105,0.33453,0.62483,0.28962,1.5e-06,3e-06,1.5e-06,3e-06,1.5e-06,3e-06
