epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,275.678,1.31056,1.79054,1.57429,0.65295,0.55187,0.61872,0.32673,0.48723,2.09896,0.26555,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05
2,500.805,0.56574,0.64952,0.34283,0.68048,0.66654,0.70569,0.38132,0.34975,0.80297,0.2104,5.40321e-05,0.000180107,5.40321e-05,0.000180107,5.40321e-05,0.000180107
3,728.445,0.52634,0.63109,0.30939,0.75054,0.63482,0.72532,0.40242,0.34124,0.98202,0.1893,7.21551e-05,0.000240517,7.21551e-05,0.000240517,7.21551e-05,0.000240517
4,948.069,0.51552,0.60279,0.30575,0.75299,0.68523,0.75364,0.42266,0.33435,0.81728,0.19015,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
5,1172.86,0.49904,0.57803,0.2913,0.77896,0.68628,0.77006,0.43283,0.33842,0.62695,0.19752,5.436e-05,0.0001812,5.436e-05,0.0001812,5.436e-05,0.0001812
6,1392.26,0.48843,0.55687,0.28404,0.77332,0.70321,0.78079,0.43875,0.34099,0.51,0.19659,4.545e-05,0.0001515,4.545e-05,0.0001515,4.545e-05,0.0001515
7,1621.8,0.47782,0.5427,0.27396,0.78205,0.7096,0.78473,0.44318,0.33453,0.49851,0.19509,3.654e-05,0.0001218,3.654e-05,0.0001218,3.654e-05,0.0001218
8,1846.76,0.47243,0.52465,0.26983,0.78519,0.71727,0.79879,0.45895,0.32508,0.47047,0.19351,2.763e-05,9.21e-05,2.763e-05,9.21e-05,2.763e-05,9.21e-05
9,2074.6,0.46374,0.5088,0.26163,0.78732,0.71361,0.79239,0.45192,0.33273,0.56277,0.19684,1.872e-05,6.24e-05,1.872e-05,6.24e-05,1.872e-05,6.24e-05
10,2304.1,0.45488,0.50311,0.25555,0.78993,0.72705,0.80324,0.46182,0.32783,0.47904,0.18808,9.81e-06,3.27e-05,9.81e-06,3.27e-05,9.81e-06,3.27e-05
