epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,278.45,0.50178,0.6457,0.26527,0.73709,0.72552,0.78073,0.44661,0.3203,1.17713,0.17239,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05
2,504.339,0.49106,0.59593,0.2519,0.78071,0.73221,0.80475,0.46547,0.30758,1.044,0.17113,1.90002e-05,6.33339e-05,1.90002e-05,6.33339e-05,1.90002e-05,6.33339e-05
3,728.832,0.47762,0.58555,0.25051,0.78112,0.73531,0.81229,0.47177,0.30691,0.92935,0.16669,2.70207e-05,9.0069e-05,2.70207e-05,9.0069e-05,2.70207e-05,9.0069e-05
4,953.572,0.47044,0.57853,0.24478,0.79478,0.74945,0.8248,0.48113,0.3034,0.61279,0.16554,2.5545e-05,8.515e-05,2.5545e-05,8.515e-05,2.5545e-05,8.515e-05
5,1178.02,0.4639,0.56585,0.24404,0.78422,0.74667,0.81794,0.47793,0.30766,0.73443,0.16743,2.406e-05,8.02e-05,2.406e-05,8.02e-05,2.406e-05,8.02e-05
6,1402.03,0.46771,0.55399,0.24506,0.77918,0.76834,0.82812,0.48209,0.30624,0.63528,0.16798,2.2575e-05,7.525e-05,2.2575e-05,7.525e-05,2.2575e-05,7.525e-05
7,1624.41,0.46265,0.5454,0.23919,0.8023,0.75027,0.82489,0.48749,0.3003,0.61379,0.16452,2.109e-05,7.03e-05,2.109e-05,7.03e-05,2.109e-05,7.03e-05
8,1847.02,0.46074,0.54368,0.23808,0.79992,0.75889,0.82794,0.48382,0.3048,0.6249,0.17002,1.9605e-05,6.535e-05,1.9605e-05,6.535e-05,1.9605e-05,6.535e-05
9,2069.9,0.46018,0.5336,0.23702,0.81486,0.75558,0.83582,0.49243,0.30464,0.55631,0.16645,1.812e-05,6.04e-05,1.812e-05,6.04e-05,1.812e-05,6.04e-05
10,2292.67,0.45351,0.5358,0.2366,0.82536,0.75796,0.83859,0.49399,0.30505,0.58525,0.17165,1.6635e-05,5.545e-05,1.6635e-05,5.545e-05,1.6635e-05,5.545e-05
11,2518.82,0.44206,0.48843,0.24603,0.82426,0.76158,0.83666,0.49546,0.30745,0.5312,0.17174,1.515e-05,5.05e-05,1.515e-05,5.05e-05,1.515e-05,5.05e-05
12,2739.99,0.4379,0.48477,0.24501,0.81548,0.76514,0.84096,0.49779,0.30205,0.54673,0.16636,1.3665e-05,4.555e-05,1.3665e-05,4.555e-05,1.3665e-05,4.555e-05
13,2964.71,0.43294,0.47893,0.2379,0.82276,0.76178,0.84035,0.49861,0.3034,0.5212,0.16779,1.218e-05,4.06e-05,1.218e-05,4.06e-05,1.218e-05,4.06e-05
14,3189.35,0.43322,0.47416,0.23927,0.82241,0.7703,0.84259,0.49879,0.30241,0.48872,0.16721,1.0695e-05,3.565e-05,1.0695e-05,3.565e-05,1.0695e-05,3.565e-05
15,3410.03,0.42619,0.47127,0.23457,0.81842,0.76123,0.83862,0.49872,0.30419,0.49909,0.17215,9.21e-06,3.07e-05,9.21e-06,3.07e-05,9.21e-06,3.07e-05
16,3631.07,0.42603,0.46405,0.23735,0.82746,0.75996,0.84082,0.49966,0.30407,0.48903,0.16824,7.725e-06,2.575e-05,7.725e-06,2.575e-05,7.725e-06,2.575e-05
17,3851.98,0.42611,0.45979,0.23497,0.81885,0.77252,0.83839,0.49781,0.30484,0.48864,0.16915,6.24e-06,2.08e-05,6.24e-06,2.08e-05,6.24e-06,2.08e-05
18,4073.1,0.42537,0.4615,0.23489,0.83454,0.76588,0.84224,0.49829,0.30557,0.48842,0.17097,4.755e-06,1.585e-05,4.755e-06,1.585e-05,4.755e-06,1.585e-05
19,4296.67,0.42363,0.4559,0.23461,0.8366,0.76312,0.84088,0.50017,0.3061,0.47606,0.17089,3.27e-06,1.09e-05,3.27e-06,1.09e-05,3.27e-06,1.09e-05
20,4520.42,0.42231,0.45416,0.2296,0.83592,0.76268,0.83983,0.4992,0.30624,0.47422,0.17249,1.785e-06,5.95e-06,1.785e-06,5.95e-06,1.785e-06,5.95e-06
